BroadArea,SubArea,,Prefix,Title,Credits,Requirement
NATURAL RESOURCES,Oceans & Fish,,OCEAN 477/BIOL 477/FISH 477 Seminar in Marine Biology (3),,,
NATURAL RESOURCES,Oceans & Fish,,OCEAN 591/SMA 591 Marine Science in the Coastal Zone (3)æ,,,
NATURAL RESOURCES,Oceans & Fish,,SMEA 510 Topics in Marine Ecology (3),,,
NATURAL RESOURCES,Oceans & Fish,,"SMEA 550 Special Topics in Marine Studies (1-3, max. 18)",,,
NATURAL RESOURCES,Physical earth,,ESS 315/ENVIR 315: Environmental Earth Science (5) NW,,,
NATURAL RESOURCES,Physical earth,,GEOG 205 Introduction to Physical Sciences and the Environment (5) NW,,,
NATURAL RESOURCES,Plants,,BIOL 424/ESRM 478 Plant Eco-Physiology (5) NW,,,
NATURAL RESOURCES,Plants,,BIOL 445 Marine Botany (5) NW,,,
NATURAL RESOURCES,Plants,,BIOL 447 The Greening of the Earth: Influence of Plants on the Evolution of Terrestrial Ecosystems (5) NW,,,
NATURAL RESOURCES,Plants,,BIOL 456 Vegetation of Western Washington (5) NW,,,
NATURAL RESOURCES,Plants,,BIOL 471 Plant Ecology (5) NW,,,
NATURAL RESOURCES,The atmosphere & climate,,"ATM S 220 Exploring the Atmospheric Sciences (1, max. 2)",,,
NATURAL RESOURCES,The atmosphere & climate,,ATM S 321 The Science of Climate (3) NW,,,
NATURAL RESOURCES,The atmosphere & climate,,"ATM S 475/ESS 475/OCEAN 475 Current Research in Climate Science Seminar (3, max. 6)",,,
NATURAL RESOURCES,The atmosphere & climate,,ATM S 514/ESS 535 Ice and Climate (3),,,
NATURAL RESOURCES,The atmosphere & climate,,ATM S 524 Seminar in Climate Dynamics and Energy Transfer (*),,,
NATURAL RESOURCES,The atmosphere & climate,,"ATM S 525/CEE 553 Seminar-Topics in Atmospheric Chemistry (1-3, max. 6)",,,
NATURAL RESOURCES,The atmosphere & climate,,ATM S 559/ESS 559/OCEAN 558 Climate Modeling (3),,,
NATURAL RESOURCES,The atmosphere & climate,,ATM S 560/OCEAN 560 Atmosphere/Ocean Interactions (3),,,
NATURAL RESOURCES,The atmosphere & climate,,ATM S 571 Advanced Physical Climatology (3),,,
NATURAL RESOURCES,The atmosphere & climate,,ATM S 587/ESS 587/ OCEAN 587 Climate Dynamics (3),,,
NATURAL RESOURCES,The atmosphere & climate,,ATM S 588/ESS 588/OCEAN 588 The Global Carbon Cycle and Climate (3),,,
NATURAL RESOURCES,The atmosphere & climate,,ATM S 593/ESS 593/OCEAN 593 Climate Science Seminar (1),,,
NATURAL RESOURCES,The atmosphere & climate,,ESS 201 The Earth System and Climate (5) NW,,,
NATURAL RESOURCES,The atmosphere & climate,,"ESS 203 Glaciers and Global Change (5) NW, I&S",,,
NATURAL RESOURCES,The atmosphere & climate,,ESS 302: Great Ice Age (5) NW,,,
NATURAL RESOURCES,The atmosphere & climate,,ESS 433 Environmental Change in the Glacial Ages (5) NW,,,
NATURAL RESOURCES,The atmosphere & climate,,OCEAN 122 Arctic Change (2) I&S/NWæ,,,
NATURAL RESOURCES,The atmosphere & climate,,OCEAN 423 Ocean Circulation and Climate (3) NW,,,
NATURAL RESOURCES,The atmosphere & climate,,OCEAN 450 Climatic Extremes (4) NW,,,
NATURAL RESOURCES,The atmosphere & climate,,"OCEAN 475 Current Research in Climate Science Seminar (3, max. 6)",,,
NATURAL RESOURCES,Water,,ATM S 460/ESS 424/PHYS 460 Water in the Environment (3) NW,,,
NATURAL RESOURCES,Water,,"BIOEN 555 Water, Nature, and Biological Function (3)",,,
NATURAL RESOURCES,Water,,"ESRM 429 Water Center Seminar (1, max. 6) NW",,,
NATURAL RESOURCES,Water,,"SEFS 529/FISH 529/PB AF 521 Water Center Seminar (1, max. 6)",,,
NATURAL RESOURCES,Wildlife,,"ESRM 455 Wildlife Seminar (1, max. 8) NW",,,
NATURAL RESOURCES,Wildlife,,"SEFS 554 Wildlife Seminar (1-2, max. 10) West",,,
TECHNICAL SOLUTIONS,Buildings,,CM 340 Sustainable Building Design and Construction Practices (3),,,
TECHNICAL SOLUTIONS,Buildings,,"CM 540 Sustainable Construction (3) ENGR 380 Design for Sustainability in the Developing World (2, max. 8) I&S",,,
TECHNICAL SOLUTIONS,Energy,,ARCH 331 Energy and Environmental Systems (3) NW,,,
TECHNICAL SOLUTIONS,Energy,,CEE 588 Energy Infrastructure and the Environment (3),,,
TECHNICAL SOLUTIONS,Energy,,CHEM E 341/ENVIR 341/M E 341 Energy and Environment (3) NW,,,
TECHNICAL SOLUTIONS,Energy,,CHEM E 442/ENVIR 442/M E 442 Renewable Energy (4) NW,,,
TECHNICAL SOLUTIONS,Energy,,M E 426 Sustainable Energy Design (4),,,
TECHNICAL SOLUTIONS,Energy,,M E 523 Energy and Environment Seminar (1),,,
TECHNICAL SOLUTIONS,Energy,,M E 539 Renewable Energy I (4),,,
TECHNICAL SOLUTIONS,Energy,,M E 540 Renewable Energy II (3),,,
TECHNICAL SOLUTIONS,Energy,,PHYS 217 Energy Future: The Technical and Social Barriers to Large-Scale Sustainable Energy (5) BSE 104 Products and Energy from Renewable Resources (5) I&S/NW,,,
TECHNICAL SOLUTIONS,Landscapes,,L ARCH 363 Ecological Design and Planning (3) NW,,,
TECHNICAL SOLUTIONS,Landscapes,,L ARCH 482 Designing High Performance Landscapes (5),,,
TECHNICAL SOLUTIONS,Landscapes,,L ARCH 501 Ecological Urbanism Studio (6),,,
TECHNICAL SOLUTIONS,Landscapes,,L ARCH 564 Sustainable Urban Landscapes (2)æ,,,
TECHNICAL SOLUTIONS,Other,,ARCH 534 Green Technology (3),,,
TECHNICAL SOLUTIONS,Other,,B BUS 550/ENVIR 550 Global Commercialization of Environmental Technologies (4)?GEOG 372/SISA 372 Asian Sustainable Development (5) I&S,,,
TECHNICAL SOLUTIONS,Other,,CEE 564 Sustainable Transportation from a Systems Perspective (5),,,
TECHNICAL SOLUTIONS,Other,,CEP 470/ URBDP 502 Tools for Sustainable Cities (4),,,
TECHNICAL SOLUTIONS,Other,,ENTRE 543 Environmental Innovation Practicum (2),,,
TECHNICAL SOLUTIONS,Other,,ESRM 325/SEFS 523 Environmental Applications of Plants: Bioenergy and Bioremediation (3)æNW,,,
TECHNICAL SOLUTIONS,Other,,"ESRM 399 Field or Teaching Internship (1-5, max. 15)",,,
TECHNICAL SOLUTIONS,Other,,L ARCH 303 Ecological Systems Studio (5),,,
TECHNICAL SOLUTIONS,Other,,M E 415 Sustainability and Design for Environment (3),,,
UNDERSTANDING PEOPLE RELATIVE TO THE ENVIRONMENT,Behaviors/Attitudes/Norms (including history ofƒ),,? CEP 302 Environmental Response (5) I&S/NW,,,
UNDERSTANDING PEOPLE RELATIVE TO THE ENVIRONMENT,Behaviors/Attitudes/Norms (including history ofƒ),,ANTH 210 Introduction to Environmental Anthropology (5) I&S,,,
UNDERSTANDING PEOPLE RELATIVE TO THE ENVIRONMENT,Behaviors/Attitudes/Norms (including history ofƒ),,"ANTH 459/ENVIR 459 Culture, Ecology and Politics (5) I&S",,,
UNDERSTANDING PEOPLE RELATIVE TO THE ENVIRONMENT,Behaviors/Attitudes/Norms (including history ofƒ),,ANTH 570 Environmental Anthropology (5),,,
UNDERSTANDING PEOPLE RELATIVE TO THE ENVIRONMENT,Behaviors/Attitudes/Norms (including history ofƒ),,"ANTH 573 Current Issues in Environmental Anthropology (2, max. 10)",,,
UNDERSTANDING PEOPLE RELATIVE TO THE ENVIRONMENT,Behaviors/Attitudes/Norms (including history ofƒ),,CEP 461 Ethics and Identity (5) I&S,,,
UNDERSTANDING PEOPLE RELATIVE TO THE ENVIRONMENT,Behaviors/Attitudes/Norms (including history ofƒ),,COM 418/ENVIR 418 Communications and the Environment (5) I&S,,,
UNDERSTANDING PEOPLE RELATIVE TO THE ENVIRONMENT,Behaviors/Attitudes/Norms (including history ofƒ),,ESRM 371/SOC 379/ENVIR 379 Environmental Sociology (5) I&S/NW,,,
UNDERSTANDING PEOPLE RELATIVE TO THE ENVIRONMENT,Behaviors/Attitudes/Norms (including history ofƒ),,ESRM 400 Natural Resource Conflict Management (3) I&S/NW,,,
UNDERSTANDING PEOPLE RELATIVE TO THE ENVIRONMENT,Behaviors/Attitudes/Norms (including history ofƒ),,"FISH 439/ENVIR 439 Attaining a Sustainable Society (1/3, max. 3) I&S/NW",,,
UNDERSTANDING PEOPLE RELATIVE TO THE ENVIRONMENT,Behaviors/Attitudes/Norms (including history ofƒ),,HSTAA 221/ENVIR 221 Environmental History of the U.S. (5) I&S,,,
UNDERSTANDING PEOPLE RELATIVE TO THE ENVIRONMENT,Behaviors/Attitudes/Norms (including history ofƒ),,HSTAA 570 American Environmental History (5),,,
UNDERSTANDING PEOPLE RELATIVE TO THE ENVIRONMENT,Behaviors/Attitudes/Norms (including history ofƒ),,HUM 209 Ethics and Climate Change (5) I&S,,,
UNDERSTANDING PEOPLE RELATIVE TO THE ENVIRONMENT,Behaviors/Attitudes/Norms (including history ofƒ),,"LAW 481/LAW B 581 Land, American Culture and the Law: Perspectives on the Use and Ownership of the Natural Environment (1-6, max. 6) I&S",,,
UNDERSTANDING PEOPLE RELATIVE TO THE ENVIRONMENT,Behaviors/Attitudes/Norms (including history ofƒ),,"LAW B 576 Climate Justice Seminar ([1-6]-, max. 6)",,,
UNDERSTANDING PEOPLE RELATIVE TO THE ENVIRONMENT,Behaviors/Attitudes/Norms (including history ofƒ),,LAW E 597 Global Warming and Justice Seminar (4),,,
UNDERSTANDING PEOPLE RELATIVE TO THE ENVIRONMENT,Behaviors/Attitudes/Norms (including history ofƒ),,PB AF 596 Ethics and Values in Environmental and Natural Resource Policy (3),,,
UNDERSTANDING PEOPLE RELATIVE TO THE ENVIRONMENT,Behaviors/Attitudes/Norms (including history ofƒ),,PB AF 597 Role of Scientific Information in Environmental Decisions (3/4),,,
UNDERSTANDING PEOPLE RELATIVE TO THE ENVIRONMENT,Behaviors/Attitudes/Norms (including history ofƒ),,PHIL 243/ENVIR 243 Environmental Ethics (5) I&S,,,
UNDERSTANDING PEOPLE RELATIVE TO THE ENVIRONMENT,Behaviors/Attitudes/Norms (including history ofƒ),,PHIL 416/ENVIR 416 Ethics and Climate Change (5) I&S,,,
UNDERSTANDING PEOPLE RELATIVE TO THE ENVIRONMENT,Behaviors/Attitudes/Norms (including history ofƒ),,PHIL 417/ENVIR 417 Advanced Topics in Environmental Philosophy (5) I&S,,,
UNDERSTANDING PEOPLE RELATIVE TO THE ENVIRONMENT,Behaviors/Attitudes/Norms (including history ofƒ),,SCAND 350/SIS 350/ENVIR 360 Environmental Norms in International Politics (5) I&S,,,
UNDERSTANDING PEOPLE RELATIVE TO THE ENVIRONMENT,Business/Economics,,?ESRM 465 Economics of Conservation (3) I&S/NW,,,
UNDERSTANDING PEOPLE RELATIVE TO THE ENVIRONMENT,Business/Economics,,ECON 235/ENVIR 235/ESRM 235 Introduction to Environmental Economics (5) I&S/NW,,,
UNDERSTANDING PEOPLE RELATIVE TO THE ENVIRONMENT,Business/Economics,,ECON 435 Natural Resource Economics (5) I&S,,,
UNDERSTANDING PEOPLE RELATIVE TO THE ENVIRONMENT,Business/Economics,,ECON 436 Economics of the Environment (5) I&S,,,
UNDERSTANDING PEOPLE RELATIVE TO THE ENVIRONMENT,Business/Economics,,ECON 535 Natural Resource Economics (3),,,
UNDERSTANDING PEOPLE RELATIVE TO THE ENVIRONMENT,Business/Economics,,ECON 536 Environmental Economics (3),,,
UNDERSTANDING PEOPLE RELATIVE TO THE ENVIRONMENT,Business/Economics,,ECON 537/SMA 537 Economic Aspects of Marine Policy (3),,,
UNDERSTANDING PEOPLE RELATIVE TO THE ENVIRONMENT,Business/Economics,,ECON 538/SMA 538 Economics of Living Marine Resources (3),,,
UNDERSTANDING PEOPLE RELATIVE TO THE ENVIRONMENT,Business/Economics,,ECON 539 Economics of Natural Resources Seminar III (3),,,
UNDERSTANDING PEOPLE RELATIVE TO THE ENVIRONMENT,Business/Economics,,ENVIR 502 Business Strategy and the Natural Environment (4),,,
UNDERSTANDING PEOPLE RELATIVE TO THE ENVIRONMENT,Business/Economics,,ESRM 320 Marketing and Management from a Sustainability Perspective (5) I&S/NW,,,
UNDERSTANDING PEOPLE RELATIVE TO THE ENVIRONMENT,Business/Economics,,ESRM 321 Finance and Accounting from a Sustainability Perspective (5) I&S/NW,,,
UNDERSTANDING PEOPLE RELATIVE TO THE ENVIRONMENT,Business/Economics,,"ESRM 423 International Trade, Marketing, and the Environment (3) I&S/NW",,,
UNDERSTANDING PEOPLE RELATIVE TO THE ENVIRONMENT,Business/Economics,,I BUS 545 Cases in Sustainability (4),,,
UNDERSTANDING PEOPLE RELATIVE TO THE ENVIRONMENT,Business/Economics,,JSIS A 429/SCAND 479 Eco-Capitalism (5),,,
UNDERSTANDING PEOPLE RELATIVE TO THE ENVIRONMENT,Business/Economics,,PB AF 547 Water Resource Economics (4),,,
UNDERSTANDING PEOPLE RELATIVE TO THE ENVIRONMENT,Business/Economics,,PB AF 594 Economic Approaches to Environmental Management (3/4),,,
UNDERSTANDING PEOPLE RELATIVE TO THE ENVIRONMENT,Education,,EDC&I 472 Environmental Education for Teachers (3),,,
UNDERSTANDING PEOPLE RELATIVE TO THE ENVIRONMENT,Thinking/Decision making,,ENVIR 503 Role of Scientific Information in Environmental Decisions (3),,,
UNDERSTANDING PEOPLE RELATIVE TO THE ENVIRONMENT,Thinking/Decision making,,ENVIR 599 Role of Scientific Information in Environmental Decisions (3),,,
UNDERSTANDING THE ENVIRONMENT RELATIVE TO PEOPLE,Food & products for people,,BIOL 240 The Urban Farm (3) NW,,,
UNDERSTANDING THE ENVIRONMENT RELATIVE TO PEOPLE,Food & products for people,,"BIOL 478/ENVIR 478/FISH 478 Topics in Sustainable Fisheries (3, max. 9) I&S/NW",,,
UNDERSTANDING THE ENVIRONMENT RELATIVE TO PEOPLE,Food & products for people,,BSE 480 Bioresource Design I (4) I&S/NW,,,
UNDERSTANDING THE ENVIRONMENT RELATIVE TO PEOPLE,Food & products for people,,BSE 481 Bioresource Design II (5) I&S/NW,,,
UNDERSTANDING THE ENVIRONMENT RELATIVE TO PEOPLE,Food & products for people,,C ENV 110 Introduction to Food and the Environment (5) I&S/NW,,,
UNDERSTANDING THE ENVIRONMENT RELATIVE TO PEOPLE,Food & products for people,,ESRM 311 Soils and Land Use (3) NW,,,
UNDERSTANDING THE ENVIRONMENT RELATIVE TO PEOPLE,Food & products for people,,FISH 478/578æTopics in Sustainable Fisheries,,,
UNDERSTANDING THE ENVIRONMENT RELATIVE TO PEOPLE,Food & products for people,,"FISH 578 Graduate Topics in Sustainable Fisheries (2, max. 6)",,,
UNDERSTANDING THE ENVIRONMENT RELATIVE TO PEOPLE,Food & products for people,,IPM 510æWater Systems (3),,,
UNDERSTANDING THE ENVIRONMENT RELATIVE TO PEOPLE,Food & products for people,,IPM 511æFood Systems (3),,,
UNDERSTANDING THE ENVIRONMENT RELATIVE TO PEOPLE,Food & products for people,,NUTR 302 Food Studies: Harvest to Health (3) I&S/NW,,,
UNDERSTANDING THE ENVIRONMENT RELATIVE TO PEOPLE,People and the natural world,,ESRM 101 Forests and Society (5) I&S/NW,,,
UNDERSTANDING THE ENVIRONMENT RELATIVE TO PEOPLE,People and the natural world,,ESRM 150 Wildlife in the Modern World (5) I&S/NW,,,
UNDERSTANDING THE ENVIRONMENT RELATIVE TO PEOPLE,People and the natural world,,ESRM 200 Society and Sustainable Environments (5) I&S/NW,,,
UNDERSTANDING THE ENVIRONMENT RELATIVE TO PEOPLE,People and the natural world,,ESRM 471 Urban Forest Landscapes (5) NW,,,
UNDERSTANDING THE ENVIRONMENT RELATIVE TO PEOPLE,People and the natural world,,FISH 101 Water and Society (5) I&S/NW,,,
UNDERSTANDING THE ENVIRONMENT RELATIVE TO PEOPLE,People and the natural world,,"SEFS 549 Urban Horticulture Seminar (1, max. 6)",,,
UNDERSTANDING THE ENVIRONMENT RELATIVE TO PEOPLE,People and the natural world,,SEFS 561 Public Presentation in Urban Horticulture (2),,,
UNDERSTANDING THE ENVIRONMENT RELATIVE TO PEOPLE,People and the natural world,,SEFS 588/GEOG 588 Advanced Urban Ecology (5),,,
UNDERSTANDING THE ENVIRONMENT RELATIVE TO PEOPLE,People and the natural world,,SMEA 103/ENVIR 103/SIS 103 Society and the Oceans (5) I&S/NW,,,
URBAN MITIGATION,Planning & Design,,? L ARCH 341 Site Planning (3),,,
URBAN MITIGATION,Planning & Design,,? L ARCH 362 Design of Cities (3) VLPA,,,
URBAN MITIGATION,Planning & Design,,? L ARCH 504 Regional Landscape Planning (1-6),,,
URBAN MITIGATION,Planning & Design,,? L ARCH 561 Regional Landscape Planning and Design (2),,,
URBAN MITIGATION,Planning & Design,,CEE 562 Livable Communities and Design (4),,,
URBAN MITIGATION,Planning & Design,,CEE 580 Urban Transportation Planning (4),,,
URBAN MITIGATION,Planning & Design,,CEP 200 Introduction to Community and Environmental Planning (5) I&S,,,
URBAN MITIGATION,Planning & Design,,URBDP 200 Introduction to Urbanization: Planning and Designing Alternative Urban Futures (5),,,
URBAN MITIGATION,Planning & Design,,"URBDP 450 Introduction to Land Use, Growth Management, and Environmental Planning (3)",,,